instance, nVertices, nEdges, avTime, avMemory, , hvTime, hvMemory,
$K_{33}$, 6, 9, 1.889451845, 1326241604, , 0.008698173, 6498184, 
$K_{43}$, 7, 12, 94.96877756, 69186541516, , 0.022842031, 46012684, 
$K_{34}$, 7, 12, 111.890005602, 76863831488, , 0.026383956, 51058232, 
$K_{44}$, 8, 16, oom, oom, , 0.208816901, 329624616, 
$K_{53}$, 8, 15, oom, oom, , 0.156258208, 225992696, 
$K_{35}$, 8, 15, oom, oom, , 0.172199362, 263970252, 
$K_{54}$, 9, 20, oom, oom, , 1.146032007, 1868214472, 
$K_{45}$, 9, 20, oom, oom, , 1.374407277, 1902783084, 
$K_{55}$, 10, 25, oot, oot, , 10.732703654, 11768692816, 
$K_{64}$, 10, 24, oot, oot, , 9.647297442, 10853964144, 
$K_{46}$, 10, 24, oot, oot, , 6.982724655, 8118930088, 
$K_{65}$, 11, 30, oot, oot, , 252.01370531, 197918803052, 
