instance, nVertices, nEdges, avTime, avMemory, avmaxLenBefore, avmaxDegBefore, avmaxLenAfter, avmaxDegAfter, hvTime, hvMemory, hvmaxLenBefore, hvmaxDegBefore, hvmaxLenAfter, hvmaxDegAfter, lvTime, lvMemory, lvTrials, lvTimeA, lvMemoryA, lvTimeB, lvMemory, lvmaxLenBefore, lvmaxDegBefore, lvmaxLenAfter, lvmaxDegAfter, avfTime, avfMemory, avfmaxLenBefore, avfmaxDegBefore, avfmaxLenAfter, avfmaxDegAfter, hvfTime, hvfMemory, hvfmaxLenBefore, hvfmaxDegBefore, hvfmaxLenAfter, hvfmaxDegAfter, lvfTime, lvfMemory, lvfTrials, lvfTimeA, lvfMemoryA, lvfTimeB, lvfMemory, lvfmaxLenBefore, lvfmaxDegBefore, lvfmaxLenAfter, lvfmaxDegAfter
$K_{3,2}$, 5, 6, 0.043371981, 57914956, 2, 2, 184, 7, 0.003109552, 813208, 2, 2, 8, 5, 0.023652374, 6801736, 1, 0.000512561, 211992, 0.008066791, 1793488, n/a, n/a, n/a, n/a, 0.010019594, 6856800, 2, 2, 2, 2, 0.003075988, 746008, 2, 2, 1, 0, 0.025227773, 6801760, 1, 0.000539632, 212016, 0.008431081, 1793488, n/a, n/a, n/a, n/a
$K_{2,3}$, 5, 6, 0.057799729, 69725564, 2, 2, 184, 7, 0.003225793, 897824, 2, 2, 6, 4, 0.02747486, 6804032, 1, 0.000768322, 214288, 0.009271499, 1793488, n/a, n/a, n/a, n/a, 0.010429451, 8624944, 2, 2, 2, 2, 0.003387707, 815816, 2, 2, 1, 1, 0.027052776, 6804032, 1, 0.000740269, 214288, 0.009028613, 1793488, n/a, n/a, n/a, n/a
$K_{3,3}$, 6, 9, 1.889451845, 1326241604, 2, 2, 1392, 10, 0.008698173, 6498184, 2, 2, 22, 6, 0.028236547, 9528648, 1, 0.000665608, 263864, 0.011402545, 4468528, 2, 2, 16, 6, 0.132333948, 106823380, 2, 2, 2, 2, 0.006822255, 7558160, 2, 2, 1, 1, 0.029159218, 14486240, 1, 0.000727654, 263848, 0.012947403, 9426136, 2, 2, 1, 0
$K_{4,2}$, 6, 8, 1.248992513, 790243408, 2, 2, 1080, 8, 0.005219048, 2392568, 2, 2, 16, 6, 0.027102578, 6928304, 1, 0.000705383, 248232, 0.009710735, 1883816, n/a, n/a, n/a, n/a, 0.075058503, 58516944, 2, 2, 2, 2, 0.005084156, 2452560, 2, 2, 1, 0, 0.026579618, 6928360, 1, 0.000779202, 248288, 0.009750229, 1883816, n/a, n/a, n/a, n/a
$K_{2,4}$, 6, 8, 1.78205394, 1336399628, 2, 2, 1080, 8, 0.007499377, 3174080, 2, 2, 8, 5, 0.026901852, 6938096, 1, 0.000675837, 258024, 0.009552538, 1883816, n/a, n/a, n/a, n/a, 0.124493793, 94561584, 2, 2, 2, 2, 0.005056134, 3070800, 2, 2, 2, 2, 0.028287551, 6937920, 1, 0.000869882, 257848, 0.010112891, 1883816, n/a, n/a, n/a, n/a
$K_{4,3}$, 7, 12, 94.96877756, 69186541516, 2, 2, 10128, 11, 0.022842031, 46012684, 2, 2, 70, 7, 0.039071437, 23779256, 1, 0.000869641, 340600, 0.02193557, 18642400, 2, 2, 70, 7, 4.79956584, 3402033912, 2, 2, 2, 2, 0.022136728, 48656104, 2, 2, 1, 1, 0.049687302, 55749024, 1, 0.001032667, 340512, 0.031564464, 50612256, 2, 2, 1, 0
$K_{3,4}$, 7, 12, 111.890005602, 76863831488, 2, 2, 10128, 11, 0.026383956, 51058232, 2, 2, 36, 6, 0.041176036, 27482248, 1, 0.000987372, 352736, 0.023915916, 22333256, 2, 2, 36, 6, 5.648936677, 4019169740, 2, 2, 2, 2, 0.02811291, 52866620, 2, 2, 1, 2, 0.055150872, 59764484, 1, 0.001184031, 354376, 0.037081615, 54613852, 2, 2, 1, 0
$K_{4,4}$, 8, 16, oom, oom, oom, oom, oom, oom, 0.208816901, 329624616, 2, 2, 240, 8, 0.176554184, 213614712, 1, 0.001834481, 496208, 0.157427437, 208322248, 2, 2, 156, 7, 375.51891305, 206402152564, 2, 2, 2, 2, 0.274911522, 359016856, 2, 2, 1, 1, 0.325329553, 366245872, 1, 0.001554666, 495744, 0.307278005, 360953872, 2, 2, 1, 0
$K_{5,2}$, 7, 10, 78.662499112, 35446602388, 2, 2, 7344, 9, 0.008969641, 6654944, 2, 2, 32, 7, 0.027249304, 7047456, 1, 0.000824847, 301520, 0.010469859, 1949680, n/a, n/a, n/a, n/a, 2.281999084, 1568025408, 2, 2, 2, 2, 0.007389881, 8170904, 2, 2, 1, 0, 0.028387629, 7047584, 1, 0.000849173, 301648, 0.010666699, 1949680, n/a, n/a, n/a, n/a
$K_{2,5}$, 7, 10, 101.686177904, 61253391776, 2, 2, 7344, 9, 0.011951028, 11445228, 2, 2, 8, 5, 0.028867631, 7073952, 1, 0.001076659, 328016, 0.010750477, 1949680, n/a, n/a, n/a, n/a, 5.153992763, 3348373252, 2, 2, 2, 2, 0.010032168, 12160836, 2, 2, 2, 2, 0.027619508, 7073864, 1, 0.000936988, 327928, 0.010297676, 1949680, n/a, n/a, n/a, n/a
