                     instance, dim, nVertices, nFaces, orientable, genus, index, q,      QQLvTime,  QQLvMemory, QQLvTrials,   QQLvTimeA, QQLvMemoryA,     QQLvTimeB,  QQLvMemory, QQLvmaxLenBefore, QQLvmaxDegBefore, QQLvmaxLenAfter, QQLvmaxDegAfter,       F2LvTime,  F2LvMemory, F2LvTrials,   F2LvTimeA, F2LvMemoryA,      F2LvTimeB,  F2LvMemory, F2LvmaxLenBefore, F2LvmaxDegBefore, F2LvmaxLenAfter, F2LvmaxDegAfter,       F4LvTime,  F4LvMemory, F4LvTrials,   F4LvTimeA, F4LvMemoryA,      F4LvTimeB,  F4LvMemory, F4LvmaxLenBefore, F4LvmaxDegBefore, F4LvmaxLenAfter, F4LvmaxDegAfter,      F3LvTime,  F3LvMemory, F3LvTrials,   F3LvTimeA, F3LvMemoryA,     F3LvTimeB,  F3LvMemory, F3LvmaxLenBefore, F3LvmaxDegBefore, F3LvmaxLenAfter, F3LvmaxDegAfter,      F9LvTime,  F9LvMemory, F9LvTrials,   F9LvTimeA, F9LvMemoryA,     F9LvTimeB,  F9LvMemory, F9LvmaxLenBefore, F9LvmaxDegBefore, F9LvmaxLenAfter, F9LvmaxDegAfter,      F5LvTime,  F5LvMemory, F5LvTrials,   F5LvTimeA, F5LvMemoryA,     F5LvTimeB,  F5LvMemory, F5LvmaxLenBefore, F5LvmaxDegBefore, F5LvmaxLenAfter, F5LvmaxDegAfter,     F25LvTime, F25LvMemory, F25LvTrials,  F25LvTimeA, F25LvMemoryA,    F25LvTimeB, F25LvMemory, F25LvmaxLenBefore, F25LvmaxDegBefore, F25LvmaxLenAfter, F25LvmaxDegAfter,   F7919LvTime, F7919LvMemory, F7919LvTrials, F7919LvTimeA, F7919LvMemoryA,  F7919LvTimeB, F7919LvMemory, F7919LvmaxLenBefore, F7919LvmaxDegBefore, F7919LvmaxLenAfter, F7919LvmaxDegAfter, F62710561LvTime, F62710561LvMemory, F62710561LvTrials, F62710561LvTimeA, F62710561LvMemoryA, F62710561LvTimeB, F62710561LvMemory, F62710561LvmaxLenBefore, F62710561LvmaxDegBefore, F62710561LvmaxLenAfter, F62710561LvmaxDegAfter
 manifold_lex_d2_n7_o0_g1_#02,   2,         7,      7,          0,     1,     2, 0,   0.083538523,    13418648,          1, 0.000744568,      193248,   0.061184884,     8383912,              n/a,              n/a,             n/a,             n/a,    1.309990201,    90050592,          1, 0.001943397,     1824880,    0.147272661,     9590008,              n/a,              n/a,             n/a,             n/a,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.164315528,    88842248,          1, 0.001344433,     1824880,   0.054191129,     8381664,              n/a,              n/a,             n/a,             n/a,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,   1.228504485,    88842248,          1, 0.001787996,     1824880,   0.057033871,     8381664,              n/a,              n/a,             n/a,             n/a,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,   1.178940132,      88842248,             1,   0.00194501,        1824880,   0.057124569,       8381664,                 n/a,                 n/a,                n/a,                n/a,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
 manifold_lex_d2_n7_o0_g1_#02,   2,         7,     18,          0,     1,     2, 1,   0.083881544,    14017344,          1, 0.001622916,      464192,   0.063938107,     8711664,              n/a,              n/a,             n/a,             n/a,    1.252253261,    97258864,          6, 0.009166423,     9913744,    0.059540338,     8709416,              n/a,              n/a,             n/a,             n/a,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.390923599,    97587952,          1, 0.008670502,     9913680,   0.057818917,     8709416,              n/a,              n/a,             n/a,             n/a,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,   1.218465233,    97258800,          1, 0.007523019,     9913680,   0.058780822,     8709416,              n/a,              n/a,             n/a,             n/a,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,   1.329379387,      97587952,             1,   0.00805745,        9913680,   0.059142409,       8709416,                 n/a,                 n/a,                n/a,                n/a,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
 manifold_lex_d2_n7_o0_g1_#02,   2,         7,     12,          0,     1,     2, 2,   0.077972516,    14226200,          1,  0.00305822,      817416,   0.056650743,     8567296,              n/a,              n/a,             n/a,             n/a,     6.45858595,  2616542672,         14, 0.011457511,    13208208,    5.149653977,  2524369608,                6,                3,            1982,              15,    6.876800529,  2798571368,          6, 0.497263228,   195521088,    5.158956545,  2524320216,                6,                3,            1982,              15,    1.14960488,   100408928,         15, 0.009414958,    13208176,     0.0537621,     8565048,              n/a,              n/a,             n/a,             n/a,   1.794985372,   283870688,          3,  0.52659127,   196560472,   0.054512181,     8580152,              n/a,              n/a,             n/a,             n/a,   1.184128257,   100408864,         10, 0.009975701,    13208112,   0.055471469,     8565048,              n/a,              n/a,             n/a,             n/a,   1.896542556,   284318984,           3, 0.649073985,    197008768,   0.058433178,     8580152,               n/a,               n/a,              n/a,              n/a,   1.211885987,     100408832,             1,  0.010740974,       13208080,   0.054895061,       8565048,                 n/a,                 n/a,                n/a,                n/a,     2.128755508,         460154192,                 1,       0.84333606,          372843976,      0.055239754,           8580152,                     n/a,                     n/a,                    n/a,                    n/a
 manifold_lex_d2_n7_o1_g0_#05,   2,         7,      7,          1,     0,     5, 0,   0.077043358,    13418648,          1, 0.000694373,      193248,   0.057119588,     8383912,              n/a,              n/a,             n/a,             n/a,    1.222698339,    88842248,          1, 0.001904805,     1824880,    0.056822528,     8381664,              n/a,              n/a,             n/a,             n/a,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.212247897,    88842248,          1, 0.001671066,     1824880,   0.055813476,     8381664,              n/a,              n/a,             n/a,             n/a,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,   1.275293646,    88842248,          1, 0.001863698,     1824880,   0.057602983,     8381664,              n/a,              n/a,             n/a,             n/a,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,    1.28784974,      89171400,             1,  0.001691845,        1824880,   0.054714001,       8381664,                 n/a,                 n/a,                n/a,                n/a,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
 manifold_lex_d2_n7_o1_g0_#05,   2,         7,     15,          1,     0,     5, 1,   0.081096263,    13891840,          1, 0.001647933,      414704,   0.059959045,     8635648,              n/a,              n/a,             n/a,             n/a,    1.341786523,    96110368,          2, 0.006887066,     8512112,    0.058062405,     8633400,              n/a,              n/a,             n/a,             n/a,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.229494965,    95781216,          2,  0.00673001,     8512112,    0.05701012,     8633400,              n/a,              n/a,             n/a,             n/a,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,   1.213329348,    95781184,          1, 0.007645839,     8512080,   0.056462421,     8633400,              n/a,              n/a,             n/a,             n/a,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,   1.259968996,      95781184,             1,  0.007620932,        8512080,   0.058453428,       8633400,                 n/a,                 n/a,                n/a,                n/a,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
 manifold_lex_d2_n7_o1_g0_#05,   2,         7,     10,          1,     0,     5, 2,   0.318758407,   224404228,          1,  0.00271254,      693128,   0.295500209,   218869612,                6,                3,            1314,              12,    1.913027359,   497384348,          3, 0.009201299,    11311312,    0.726252764,   407437332,                6,                3,            1182,              12,    2.530787959,   649914196,          1, 0.348412799,   163229408,    0.944671733,   407954724,                6,                3,            1182,              12,   2.461024044,   694879572,          2, 0.008681663,    11311312,   1.271926399,   604932556,                6,                3,            1314,              12,   3.050914829,   848416924,          4, 0.458095109,   164803696,   1.352054318,   604883164,                6,                3,            1314,              12,   2.292393509,   474328552,          1, 0.009161583,    11311280,   1.137680282,   384381568,                6,                3,            1314,              12,   2.955266667,   628077008,           1,   0.5777179,    165214976,   1.127336023,   384131968,                 6,                 3,             1314,               12,   1.472468763,     302323868,             1,  0.009141937,       11311280,   0.306382892,     212376884,                   6,                   3,               1314,                 12,     2.739013365,         605320484,                 1,      0.525030084,          311243240,      0.559177119,         215018028,                       6,                       3,                   1314,                     12
 manifold_lex_d2_n7_o1_g1_#01,   2,         7,      7,          1,     1,     1, 0,   0.083169704,    13418648,          1, 0.000713189,      193248,   0.062548694,     8383912,              n/a,              n/a,             n/a,             n/a,    1.272202719,    88842248,          1, 0.001786924,     1824880,    0.058876383,     8381664,              n/a,              n/a,             n/a,             n/a,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.264223825,    88842248,          1, 0.001916377,     1824880,   0.059446153,     8381664,              n/a,              n/a,             n/a,             n/a,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,   1.204432564,    88842248,          1, 0.001823603,     1824880,   0.055739527,     8381664,              n/a,              n/a,             n/a,             n/a,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,   1.189363604,      88842248,             1,  0.001431296,        1824880,   0.054870747,       8381664,                 n/a,                 n/a,                n/a,                n/a,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
 manifold_lex_d2_n7_o1_g1_#01,   2,         7,     21,          1,     1,     1, 1,    0.08182991,    14207104,          1, 0.001227924,      584784,   0.061562415,     8780832,              n/a,              n/a,             n/a,             n/a,    1.336454097,    99065120,          1, 0.008329172,    11321680,    0.059042785,     8778584,              n/a,              n/a,             n/a,             n/a,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.285605543,    98735968,          1, 0.008686111,    11321680,   0.067657603,     8778584,              n/a,              n/a,             n/a,             n/a,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,   1.244719392,    98735968,          1,  0.00895664,    11321680,   0.063158539,     8778584,              n/a,              n/a,             n/a,             n/a,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,   1.230173013,      98735968,             1,  0.008915261,       11321680,   0.060826884,       8778584,                 n/a,                 n/a,                n/a,                n/a,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
 manifold_lex_d2_n7_o1_g1_#01,   2,         7,     14,          1,     1,     1, 2,   2.730026951,  1301200680,          1,  0.00434248,      929552,   2.706718326,  1295429640,                6,                3,             530,              15,  578.746847408,  8888061810,          2, 0.012136636,    15020912,   577.56746152,  8794405194,                6,                3,             524,              15,  554.020163591,  9099446442,          1, 0.679230569,   226689728,  552.114575674,  8794026650,                6,                3,             524,              15,  43.441336966,  6499415112,          3, 0.009816085,    15020944,  42.367554479,  6405758464,                6,                3,             530,              15,  43.318146212,  6712063096,          1, 0.660191172,   227824168,  41.530105663,  6405508864,                6,                3,             530,              15,  27.381748693,  4215925174,          1, 0.009710076,    15020880,  26.306781882,  4122268590,                6,                3,             530,              15,   28.41782051,  4428901246,           1, 0.601505013,    228281136,  26.675757834,  4121890046,                 6,                 3,              530,               15,   6.908342187,    1636394804,             1,  0.010190186,       15020880,   5.838199848,    1542738220,                   6,                   3,                530,                 15,     7.814890065,        2053148252,                 1,      0.866668496,          431896816,      5.809585742,        1542521372,                       6,                       3,                    530,                     15
 manifold_lex_d2_n8_o0_g1_#04,   2,         8,      8,          0,     1,     4, 0,    0.07592279,    13524048,          1,  0.00070317,      199416,   0.056175219,     8483144,              n/a,              n/a,             n/a,             n/a,    1.332238216,    89616936,          1, 0.002284056,     2174480,    0.057703275,     8477600,              n/a,              n/a,             n/a,             n/a,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.213887511,    89287784,          1, 0.002338025,     2174480,   0.057321125,     8477600,              n/a,              n/a,             n/a,             n/a,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,   1.192336354,    89287784,          1, 0.002223252,     2174480,   0.056253675,     8477600,              n/a,              n/a,             n/a,             n/a,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,    1.19582001,      89287784,             1,  0.002455417,        2174480,   0.058368624,       8477600,                 n/a,                 n/a,                n/a,                n/a,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
